Survived,Pclass,SibSp,Parch,Fare,Embarked,Gender
0,3,0,2,20.2125,S,female
0,1,0,0,52,S,male
1,3,1,0,11.2417,C,female
0,3,0,0,8.7125,C,male
0,2,0,0,10.5,S,male
1,2,0,1,33,S,female
1,2,0,0,13,S,male
0,2,0,0,12.875,C,male
1,3,1,0,24.15,Q,female
0,1,0,0,26,S,male
0,2,0,0,10.5,S,male
0,3,0,5,29.125,Q,female
0,3,0,0,7.8542,S,male
0,1,0,0,26.55,S,male
0,3,0,0,7.75,Q,male
1,3,1,1,15.9,S,male
0,3,0,2,14.5,S,male
0,3,2,0,7.925,S,male
0,2,0,0,13,S,male
1,3,1,1,16.7,S,female
0,2,0,0,10.5,S,male
0,3,0,0,7.75,Q,male
0,3,4,2,31.275,S,female
0,3,0,0,18.7875,C,male
0,1,0,0,30.5,S,male
1,2,0,1,19.5,S,female
0,3,0,0,7.05,S,male
0,2,0,0,26,S,male
0,3,1,1,14.4,S,male
0,3,3,1,25.4667,S,male
1,1,0,1,512.3292,C,male
1,1,0,0,86.5,S,female
0,3,1,0,7.25,S,male
1,2,0,0,10.5,S,female
0,2,1,0,30.0708,C,male
0,1,3,2,263,S,male
1,2,0,0,13,S,male
0,3,0,0,8.05,S,male
1,1,0,0,26.55,S,male
0,1,0,0,26.55,S,male
0,3,3,2,27.9,S,female
1,1,1,2,120,S,male
1,2,1,1,26,S,male
1,2,0,0,10.5,S,female
1,2,0,0,13,S,female
0,3,0,0,9.5,S,male
0,3,0,0,7.8542,S,male
0,3,0,0,7.225,C,male
1,2,0,2,37.0042,C,male
0,3,0,0,7.55,S,female
1,2,1,0,26,S,female
1,3,1,0,7.8542,S,female
0,2,0,0,10.5,S,male
0,3,0,0,7.8958,S,male
0,3,3,2,27.9,S,male
0,3,0,0,8.05,S,male
0,3,0,0,7.8958,S,male
1,1,1,1,52.5542,S,female
1,1,0,1,55,S,female
1,1,0,0,86.5,S,female
0,3,0,0,22.525,S,male
1,2,2,3,18.75,S,female
1,2,0,0,13.8625,C,male
0,2,1,0,21,S,female
1,3,0,0,7.925,S,male
1,1,1,0,53.1,S,male
0,3,0,0,7.8958,S,male
0,3,0,0,9.5,S,male
0,3,0,0,9,S,male
0,3,0,0,7.05,S,male
1,3,4,2,31.3875,S,female
1,1,1,0,113.275,C,female
1,3,2,1,19.2583,C,female
0,3,1,0,14.5,S,female
1,2,1,1,29,S,female
1,3,0,2,22.3583,C,female
0,3,0,0,7.8958,S,male
0,3,0,0,7.75,S,male
0,2,0,0,0,S,male
1,1,0,0,69.3,C,female
1,3,0,0,7.2292,C,female
0,3,1,0,16.1,S,male
1,3,0,0,56.4958,S,male
0,3,0,0,7.2292,C,male
1,2,1,1,26.25,S,female
0,3,0,0,8.05,S,male
0,3,0,0,7.4958,S,male
0,3,0,0,14.4583,C,male
0,3,4,2,31.3875,S,male
0,2,0,0,10.5,S,male
1,1,0,2,81.8583,S,male
1,3,0,0,56.4958,S,male
1,3,0,0,7.7333,Q,female
0,3,0,0,7.25,S,male
0,3,0,0,8.05,S,male
1,1,0,0,27.7208,C,female
0,3,0,0,7.2292,C,male
0,3,3,1,21.075,S,female
0,1,0,0,52,S,male
1,3,0,0,8.05,S,male
1,2,0,1,19.5,S,female
0,3,0,0,7.8,S,male
0,3,4,1,39.6875,S,male
0,3,0,0,7.8292,Q,male
1,2,1,0,26,S,female
1,3,0,0,7.75,S,female
1,1,1,2,151.55,S,male
1,1,0,0,76.2917,C,female
1,1,0,0,26.55,S,male
0,2,0,0,10.5,S,male
0,2,1,0,26,S,male
1,1,1,0,57,S,female
0,3,0,0,24.15,Q,male
0,2,0,0,13,S,male
1,3,1,1,15.9,S,male
1,2,1,1,26,S,male
1,2,0,0,13,S,male
0,3,0,0,8.05,S,male
0,3,0,0,7.25,S,male
0,3,0,0,7.8958,S,male
0,1,1,0,53.1,S,male
1,1,0,0,26.2875,S,male
1,3,0,3,19.2583,C,female
0,2,1,0,21,S,male
0,3,0,0,8.6625,S,male
0,3,4,1,39.6875,S,male
1,1,1,0,91.0792,C,female
0,1,0,0,42.4,S,male
0,2,0,0,12.35,Q,male
1,3,2,1,19.2583,C,female
1,2,0,0,33,S,female
0,2,0,0,73.5,S,male
1,3,0,0,7.925,S,female
1,2,1,1,14.5,S,male
1,3,0,1,12.475,S,male
1,1,1,0,66.6,S,female
1,3,0,0,7.25,S,female
0,3,0,0,9.4833,S,male
1,1,0,0,35.5,S,male
1,3,0,0,7.75,Q,female
1,2,1,0,26,S,female
0,3,0,0,7.775,S,male
1,1,1,0,76.7292,C,female
0,3,0,0,8.05,S,male
1,3,0,0,7.75,Q,female
0,3,1,0,15.5,Q,male
0,3,8,2,69.55,S,female
1,2,1,2,27.75,S,female
1,2,0,0,13,S,female
0,2,1,1,26,S,female
1,3,1,0,16.1,S,female
0,1,0,2,211.5,C,male
0,3,0,0,7.125,S,male
1,3,0,0,56.4958,S,male
1,1,0,0,26.55,S,male
0,3,0,0,8.05,S,male
0,3,0,0,7.75,Q,male
0,3,0,0,7.75,Q,male
0,1,1,0,78.85,S,male
0,3,0,0,7.925,S,male
0,3,0,0,7.8875,S,male
0,3,0,0,8.1375,Q,female
1,2,1,2,41.5792,C,female
1,1,1,0,90,S,male
0,1,0,0,27.75,C,male
0,3,1,1,20.525,S,male
1,2,0,0,13,S,female
0,2,0,0,0,S,male
0,1,0,0,35.5,S,male
0,3,0,0,7.8958,S,male
0,3,0,0,7.8958,S,male
0,3,2,0,18,S,female
0,3,0,0,7.925,S,male
0,3,0,0,7.8958,S,male
0,3,4,1,39.6875,S,male
0,3,0,0,7.7333,Q,male
1,1,1,0,39.6,C,female
1,1,1,1,164.8667,S,female
0,2,0,1,33,S,male
0,3,0,0,7.8958,S,male
0,1,0,1,77.2875,S,male
1,3,0,0,7.8792,Q,female
1,3,1,1,11.1333,S,male
0,3,0,0,7.8958,S,female
0,1,1,2,151.55,S,female
0,2,0,0,13,S,male
0,3,0,0,7.775,S,female
0,3,0,0,9.225,S,male
1,1,1,0,76.7292,C,male
0,3,1,0,18,S,female
1,1,0,0,30.5,C,male
1,2,0,0,10.5,S,female
1,2,0,0,12,C,female
0,2,1,0,26,S,male
1,3,0,0,56.4958,S,male
0,3,1,1,7.2292,C,male
0,3,0,0,56.4958,S,male
1,1,1,0,51.8625,S,female
1,2,0,0,16,S,female
0,1,0,0,27.7208,C,male
0,3,0,0,8.6625,S,male
0,1,1,1,110.8833,C,male
0,2,0,0,13,S,male
0,3,1,1,15.5,Q,female
0,3,0,0,14.5,S,male
0,3,0,0,7.75,Q,female
0,3,0,0,7.8958,S,male
0,3,0,0,8.05,S,male
1,2,0,0,13,S,female
0,1,0,0,26,S,male
0,1,0,0,34.6542,C,male
1,3,1,1,22.3583,C,female
1,1,1,0,78.2667,C,female
0,3,0,0,7.875,S,male
0,3,0,0,7.75,Q,male
0,3,1,0,14.4542,C,male
0,3,0,0,8.6542,S,male
0,3,0,0,7.25,S,male
1,3,1,1,15.2458,C,male
1,3,2,1,19.2583,C,female
0,3,0,0,7.225,C,male
0,2,0,0,13,S,male
0,3,0,0,7.25,S,male
1,1,1,2,120,S,male
0,2,0,0,13,S,male
0,3,0,0,7.7958,S,male
1,1,0,0,30,S,male
0,1,1,1,79.65,S,male
1,1,0,0,26.2875,S,male
1,3,0,0,18.7875,C,male
0,3,0,0,7.7958,S,male
0,3,0,1,8.4042,S,male
1,2,0,0,10.5,S,female
1,3,0,0,7.775,S,female
0,1,0,0,26.55,S,male
0,2,1,2,41.5792,C,male
1,1,0,1,153.4625,S,female
1,1,1,0,52,S,male
1,2,0,2,14.5,S,female
1,1,1,0,52,S,female
1,3,0,1,12.2875,S,female
0,3,0,0,8.3625,S,male
1,2,0,0,15.75,S,female
0,3,0,0,8.05,S,male
1,1,0,0,25.9292,S,female
0,3,0,0,9.35,S,male
0,3,1,3,34.375,S,female
0,3,0,1,14.4542,C,female
1,1,0,0,26.55,S,male
0,2,0,0,26,S,male
0,1,0,0,49.5042,C,male
1,1,0,2,110.8833,C,male
1,1,0,0,110.8833,C,female
0,2,0,0,10.5,S,male
0,1,1,0,52,S,male
0,3,1,1,20.25,S,male
0,3,5,2,46.9,S,female
1,3,0,2,22.025,S,female
0,3,0,0,8.05,S,male
0,3,4,1,29.125,Q,male
1,3,0,0,7.75,Q,male
0,3,0,0,7.225,C,male
0,3,0,0,7.225,C,male
0,3,0,0,10.1708,S,male
0,3,1,0,9.825,S,female
0,1,0,0,0,S,male
1,3,0,0,8.05,S,male
0,3,2,0,8.6625,S,male
1,3,0,0,7.8792,Q,female
0,3,0,0,7.725,Q,male
0,3,0,0,7.25,S,male
0,3,0,0,14.5,S,male
0,2,1,0,21,S,male
1,2,0,0,10.5,S,male
1,1,1,0,59.4,C,female
1,3,1,0,17.4,S,female
0,3,0,0,7.225,C,male
0,3,0,0,8.05,S,male
0,3,0,0,15.1,S,male
0,3,0,0,7.75,Q,male
0,1,0,1,77.2875,S,male
0,3,0,0,8.6625,S,male
0,3,0,0,7.65,S,male
0,3,0,0,8.05,S,male
1,1,1,0,113.275,C,female
0,3,4,2,31.275,S,female
0,3,0,0,7.8958,S,male
0,3,1,0,15.85,S,male
0,3,0,0,7.8958,C,male
0,3,0,0,7.8542,S,male
1,2,0,1,26,S,female
1,3,0,2,11.1333,S,female
0,3,0,0,7.925,S,male
0,1,0,0,26.55,S,male
0,3,0,0,6.4375,C,male
0,2,0,0,73.5,S,male
1,2,1,1,23,S,female
1,2,1,0,13.8583,C,female
1,1,0,0,135.6333,S,female
0,3,1,1,7.2292,C,male
0,3,0,0,7.7375,Q,male
0,1,0,0,35,S,male
0,2,0,0,10.5,S,male
0,3,0,0,7.25,S,male
0,2,1,0,26,S,female
0,1,1,0,83.475,S,male
1,3,0,1,9.35,S,female
0,1,0,0,26.55,S,male
1,1,0,0,30,S,male
1,1,0,1,57.9792,C,female
0,3,0,0,7.75,Q,male
1,1,0,1,57.9792,C,female
0,3,0,0,7.775,S,male
0,3,0,0,7.4958,S,male
0,1,0,0,221.7792,S,male
1,2,0,0,13,S,female
1,3,0,0,7.1417,S,male
0,3,0,0,7.775,S,male
0,2,0,0,13.5,S,male
1,1,0,2,79.65,S,female
0,2,0,0,13,S,male
1,1,0,1,83.1583,C,female
0,2,1,2,27.75,S,male
1,3,0,2,15.2458,C,female
0,3,0,0,7.225,C,male
0,3,0,0,7.8958,S,male
0,1,0,0,30,S,male
1,3,0,0,7.775,S,male
0,3,0,0,7.25,S,male
0,3,3,1,25.4667,S,female
1,1,1,0,108.9,C,female
1,1,1,0,227.525,C,female
1,2,1,1,26,S,female
1,3,0,0,7.225,C,male
0,1,0,0,26.55,S,male
0,3,0,0,24.15,S,male
0,2,0,0,14,S,male
1,3,1,5,31.3875,S,female
0,1,0,0,51.8625,S,male
1,1,0,0,79.2,C,female
1,3,0,0,56.4958,S,male
0,3,2,2,34.375,S,female
1,3,4,2,7.925,S,female
0,3,1,0,7.0542,S,male
0,3,0,4,21.075,S,female
0,3,0,0,8.6625,S,male
0,3,0,0,9.225,S,male
1,3,0,0,7.2292,C,female
1,1,0,2,71,S,female
0,2,0,0,0,S,male
0,2,0,0,13,S,male
1,3,0,2,20.525,S,male
0,3,0,0,16.1,S,male
1,3,0,0,7.7958,S,male
1,2,0,0,13,S,female
1,2,0,0,13,S,male
0,2,0,0,13,S,male
1,3,0,0,7.75,Q,male
1,1,0,0,86.5,S,female
0,3,1,1,20.2125,S,male
1,3,0,1,8.5167,C,male
0,2,1,0,11.5,S,male
0,1,1,1,71,S,male
0,3,1,0,19.9667,S,male
1,3,0,0,7.925,S,male
0,3,0,0,9.5,S,male
0,3,0,0,7.8958,S,male
0,3,0,0,7.75,Q,male
1,2,0,2,29,S,male
0,3,0,0,7.8958,S,male
0,1,1,0,61.175,S,male
0,2,1,0,26,S,male
0,1,0,0,27.7208,C,male
1,1,0,0,30.5,S,male
1,1,1,0,77.9583,S,female
0,3,2,0,7.925,S,male
0,1,0,0,30.6958,C,male
0,3,0,0,7.925,S,male
0,2,0,0,13,S,male
1,2,3,0,21,S,female
0,1,1,0,106.425,C,male
1,1,0,0,30,S,female
0,3,0,0,8.05,S,male
1,2,0,0,13.5,S,female
1,3,0,0,7.8542,S,female
1,1,1,0,78.2667,C,female
1,2,0,1,26,S,female
1,2,1,1,26.25,S,female
0,3,3,2,27.9,S,male
0,3,0,0,7.05,S,male
0,1,0,0,0,S,male
1,1,0,0,26.55,S,female
0,3,0,1,16.1,S,male
0,3,0,0,15.5,Q,male
0,3,5,2,46.9,S,male
0,2,0,0,13,S,female
0,1,2,0,90,Q,male
0,3,0,0,7.2292,C,male
0,3,0,0,7.2292,C,male
1,1,1,0,146.5208,C,female
1,1,1,0,57,S,male
1,2,0,0,13,S,female
0,1,0,0,227.525,C,male
0,2,1,1,37.0042,C,male
1,2,1,0,26,S,male
0,2,1,1,26.25,S,male
0,3,8,2,69.55,S,male
0,3,8,2,69.55,S,male
1,3,0,0,7.8292,Q,female
1,3,1,0,7.925,S,male
1,1,0,0,30.5,S,male
0,3,0,0,8.05,S,male
0,1,0,1,153.4625,S,male
0,2,0,0,13,S,male
0,2,0,0,10.5,S,male
0,3,0,0,7.8958,S,male
1,1,1,2,120,S,female
0,3,4,1,39.6875,S,male
0,2,0,0,12.275,S,male
0,3,1,0,9.825,S,female
0,3,0,0,8.6625,S,male
0,3,0,0,8.05,S,male
0,3,0,0,7.7958,S,male
1,1,1,0,133.65,S,female
0,3,0,0,0,S,male
0,1,0,0,29.7,C,male
0,3,0,0,56.4958,S,male
1,2,1,3,23,S,female
1,1,1,0,89.1042,C,female
0,2,0,0,11.5,S,male
0,3,0,0,7.7333,Q,male
0,1,1,0,55.9,S,male
0,2,0,0,13,S,male
1,3,0,0,8.6833,S,female
1,1,0,0,227.525,C,female
0,2,0,0,26,S,male
0,2,0,0,0,S,male
0,3,0,0,6.2375,S,male
0,3,0,0,7.8542,S,female
0,2,0,0,13,S,male
1,2,1,1,32.5,S,female
1,1,3,2,263,S,female
0,3,1,0,17.8,S,male
1,3,0,0,7.7875,Q,female
0,3,0,0,7.2292,C,male
1,1,1,0,75.25,C,female
0,2,0,0,13,S,male
0,3,0,0,8.05,S,male
0,3,4,1,29.125,Q,male
0,2,1,0,26,S,male
1,1,1,0,55.4417,C,male
0,3,1,0,15.55,S,male
1,3,0,0,7.7375,Q,female
0,3,0,0,7.925,S,male
1,1,0,0,25.9292,S,female
1,1,0,0,78.85,S,female
1,3,0,0,7.75,Q,female
1,3,0,0,7.55,S,female
0,3,0,0,6.8583,Q,male
0,3,0,0,7.65,S,male
0,3,0,0,0,S,male
0,3,0,0,7.7417,Q,male
0,3,1,0,9.475,S,female
1,2,0,2,26.25,S,female
0,3,2,0,14.1083,S,male
0,1,0,1,29.7,C,male
1,3,1,1,15.2458,C,male
0,3,0,0,7.775,S,female
1,3,0,0,8.05,S,male
0,3,0,0,7.75,S,male
0,1,0,0,50.4958,S,male
1,1,1,0,52.5542,S,male
1,3,0,0,6.975,S,male
0,1,0,0,34.0208,S,male
0,3,0,0,7.8958,S,male
1,1,0,0,151.55,S,female
0,2,0,0,13,S,male
0,3,0,0,7.8958,S,male
1,1,1,0,71.2833,C,female
1,3,0,1,12.475,S,female
0,2,0,0,26,S,male
1,3,0,0,8.05,S,male
0,3,0,0,7.75,Q,female
0,3,0,0,7.65,S,male
0,2,1,0,27.7208,C,male
0,3,0,0,8.4333,S,male
1,2,1,0,26,S,female
0,3,0,0,8.05,S,male
0,3,0,0,8.05,S,male
1,3,0,0,8.05,S,male
1,1,0,0,26.55,C,male
0,3,0,2,15.2458,C,female
1,1,1,1,79.2,C,male
1,2,0,0,10.5,S,male
0,2,1,0,26,S,male
1,1,0,0,31,C,male
0,2,0,0,10.5,S,male
0,3,0,0,9.5,S,male
0,1,0,0,79.2,C,male
1,1,1,1,110.8833,C,female
1,1,0,0,512.3292,C,female
0,3,0,0,8.05,S,male
0,3,1,0,16.1,S,male
0,3,0,0,14.5,S,male
1,2,0,2,26,S,female
1,3,0,0,9.5,S,male
1,1,0,1,247.5208,C,female
1,1,2,0,133.65,S,male
1,1,1,1,93.5,S,female
0,3,1,0,14.4542,C,female
0,3,0,0,7.3125,S,male
0,3,0,2,7.75,Q,female
0,2,0,0,11.5,S,male
1,1,1,0,90,S,female
0,2,0,0,0,S,male
0,2,0,0,15,S,male
0,2,1,1,36.75,S,male
0,3,1,6,46.9,S,female
0,3,0,0,8.3,S,male
0,3,0,0,7.775,S,male
1,1,0,0,30.5,S,male
0,3,0,0,8.1583,S,male
0,3,8,2,69.55,S,male
0,3,1,1,7.8542,S,male
0,3,0,0,7.25,S,male
0,3,2,2,34.375,S,female
0,3,3,2,27.9,S,female
0,3,1,1,14.4,S,female
1,2,1,0,26,S,female
0,3,0,0,8.05,S,male
0,2,0,0,26,S,male
1,1,0,0,56.9292,C,female
1,1,0,0,77.9583,S,female
0,3,4,1,29.125,Q,male
0,3,0,0,7.8958,S,male
0,2,0,0,13,S,male
0,3,2,0,24.15,S,male
0,3,0,0,7.05,S,male
1,3,0,0,12.475,S,female
0,3,1,2,23.45,S,female
0,3,0,1,14.4542,C,female
1,1,0,0,227.525,C,female
1,1,1,0,56.9292,C,male
1,3,1,0,15.5,Q,female
0,3,0,0,7.125,S,male
0,3,1,0,14.4583,C,female
1,2,0,1,23,S,female
0,3,0,0,6.75,Q,female
1,2,1,0,30.0708,C,female
0,2,0,0,13,S,male
1,1,0,1,39.4,S,female
0,3,8,2,69.55,S,female
0,3,0,0,8.05,S,male
1,3,1,0,14.4542,C,female
0,3,0,0,8.05,S,male
0,3,0,0,7.8958,S,male
0,1,0,0,47.1,S,male
0,3,0,0,7.75,Q,male
0,3,4,2,31.275,S,female
1,1,1,0,55.9,S,female
0,3,0,0,7.775,S,male
1,3,0,0,9.5875,S,female
0,3,1,0,7.0458,S,male
0,3,1,2,20.575,S,male
0,3,1,0,7.8542,S,male
0,2,0,0,10.5,S,male
0,3,4,2,31.275,S,male
1,3,1,1,11.1333,S,female
1,1,0,0,76.7292,C,male
0,3,1,0,16.1,S,female
0,3,0,0,8.6625,S,female
1,3,1,0,16.1,S,female
0,3,0,0,7.225,C,male
0,1,0,0,31,S,male
1,3,0,0,7.8542,S,male
1,1,0,0,69.3,C,female
0,3,0,0,7.25,S,male
0,1,1,0,53.1,S,male
0,3,4,1,29.125,Q,male
1,2,1,1,18.75,S,male
0,3,0,0,8.05,S,male
0,2,0,0,13,S,male
0,3,1,4,27.9,S,female
0,3,0,0,16.1,S,male
0,3,0,0,7.2292,C,male
1,3,0,2,15.7417,C,female
0,3,1,0,14.4542,C,male
0,2,1,0,21,S,male
0,3,0,0,0,S,male
0,1,0,0,25.925,S,male
1,2,0,0,12.35,Q,female
0,2,2,1,11.5,S,male
0,3,0,0,9.5875,S,female
1,3,0,0,7.75,Q,female
1,2,0,0,13,S,female
1,3,0,0,7.75,Q,female
0,1,0,1,247.5208,C,male
0,2,0,0,12.525,S,male
0,3,5,2,46.9,S,male
0,3,0,0,7.775,S,male
1,3,1,0,15.5,Q,female
0,1,0,0,28.5,S,male
0,1,1,0,66.6,S,male
1,3,0,0,8.0292,Q,female
0,3,8,2,69.55,S,female
0,3,0,0,7.8958,S,male
1,1,0,0,211.3375,S,female
1,2,1,1,39,S,female
0,3,0,0,7.775,S,male
0,2,0,0,10.5,S,male
0,1,1,0,52,S,male
1,3,0,0,8.6625,S,male
0,3,0,0,7.8958,C,male
0,1,0,0,28.7125,C,female
0,2,1,1,26.25,S,male
0,3,1,0,6.4958,S,male
0,3,0,0,9.8458,S,male
0,3,0,0,8.05,S,male
0,3,1,5,31.275,S,male
1,3,0,0,7.2292,C,male
0,2,0,0,10.5,S,male
0,1,0,0,32.3208,S,male
